"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","DATA_TYPE","COLUMN_KEY"
"c02","tbl_ability_eligibility_payer","Id","int",""
"c02","tbl_ability_eligibility_payer","Code","varchar",""
"c02","tbl_ability_eligibility_payer","Name","varchar",""
"c02","tbl_ability_eligibility_payer","Comments","varchar",""
"c02","tbl_ability_eligibility_payer","SearchOptions","mediumtext",""
"c02","tbl_ability_eligibility_payer","AllowsSubmission","tinyint",""
"c02","tbl_ability_eligibility_request","ID","int","PRI"
"c02","tbl_ability_eligibility_request","CustomerID","int",""
"c02","tbl_ability_eligibility_request","CustomerInsuranceID","int",""
"c02","tbl_ability_eligibility_request","RequestTime","datetime",""
"c02","tbl_ability_eligibility_request","RequestText","mediumtext",""
"c02","tbl_ability_eligibility_request","ResponseTime","datetime",""
"c02","tbl_ability_eligibility_request","ResponseText","mediumtext",""
"c02","tbl_ability_eligibility_request","SubmissionTime","datetime",""
"c02","tbl_ability_eligibility_request","SubmissionText","mediumtext",""
"c02","tbl_authorizationtype","ID","int","PRI"
"c02","tbl_authorizationtype","Name","varchar",""
"c02","tbl_authorizationtype","LastUpdateUserID","smallint",""
"c02","tbl_authorizationtype","LastUpdateDatetime","timestamp",""
"c02","tbl_batchpayment","ID","int","PRI"
"c02","tbl_batchpayment","InsuranceCompanyID","int",""
"c02","tbl_batchpayment","CheckNumber","varchar",""
"c02","tbl_batchpayment","CheckDate","date",""
"c02","tbl_batchpayment","CheckAmount","decimal",""
"c02","tbl_batchpayment","AmountUsed","decimal",""
"c02","tbl_batchpayment","LastUpdateUserID","smallint",""
"c02","tbl_batchpayment","LastUpdateDatetime","timestamp",""
"c02","tbl_billingtype","ID","int","PRI"
"c02","tbl_billingtype","Name","varchar",""
"c02","tbl_billingtype","LastUpdateUserID","smallint",""
"c02","tbl_billingtype","LastUpdateDatetime","timestamp",""
"c02","tbl_changes","TableName","varchar","PRI"
"c02","tbl_changes","SessionID","int",""
"c02","tbl_changes","LastUpdateUserID","smallint",""
"c02","tbl_changes","LastUpdateDatetime","timestamp",""
"c02","tbl_cmnform","ID","int","PRI"
"c02","tbl_cmnform","CMNType","enum",""
"c02","tbl_cmnform","InitialDate","date",""
"c02","tbl_cmnform","RevisedDate","date",""
"c02","tbl_cmnform","RecertificationDate","date",""
"c02","tbl_cmnform","CustomerID","int",""
"c02","tbl_cmnform","Customer_ICD9_1","varchar",""
"c02","tbl_cmnform","Customer_ICD9_2","varchar",""
"c02","tbl_cmnform","Customer_ICD9_3","varchar",""
"c02","tbl_cmnform","Customer_ICD9_4","varchar",""
"c02","tbl_cmnform","DoctorID","int",""
"c02","tbl_cmnform","POSTypeID","int",""
"c02","tbl_cmnform","FacilityID","int",""
"c02","tbl_cmnform","AnsweringName","varchar",""
"c02","tbl_cmnform","AnsweringTitle","varchar",""
"c02","tbl_cmnform","AnsweringEmployer","varchar",""
"c02","tbl_cmnform","EstimatedLengthOfNeed","int",""
"c02","tbl_cmnform","Signature_Name","varchar",""
"c02","tbl_cmnform","Signature_Date","date",""
"c02","tbl_cmnform","OnFile","tinyint",""
"c02","tbl_cmnform","OrderID","int",""
"c02","tbl_cmnform","LastUpdateUserID","smallint",""
"c02","tbl_cmnform","LastUpdateDatetime","timestamp",""
"c02","tbl_cmnform","MIR","set",""
"c02","tbl_cmnform","Customer_UsingICD10","tinyint",""
"c02","tbl_cmnform_0102a","CMNFormID","int","PRI"
"c02","tbl_cmnform_0102a","Answer1","enum",""
"c02","tbl_cmnform_0102a","Answer3","enum",""
"c02","tbl_cmnform_0102a","Answer4","enum",""
"c02","tbl_cmnform_0102a","Answer5","enum",""
"c02","tbl_cmnform_0102a","Answer6","enum",""
"c02","tbl_cmnform_0102a","Answer7","enum",""
"c02","tbl_cmnform_0102b","CMNFormID","int","PRI"
"c02","tbl_cmnform_0102b","Answer12","enum",""
"c02","tbl_cmnform_0102b","Answer13","enum",""
"c02","tbl_cmnform_0102b","Answer14","enum",""
"c02","tbl_cmnform_0102b","Answer15","enum",""
"c02","tbl_cmnform_0102b","Answer16","enum",""
"c02","tbl_cmnform_0102b","Answer19","enum",""
"c02","tbl_cmnform_0102b","Answer20","enum",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer1_Stage","varchar",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer1_MaxLength","double",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer1_MaxWidth","double",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer2_Stage","varchar",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer2_MaxLength","double",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer2_MaxWidth","double",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer3_Stage","varchar",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer3_MaxLength","double",""
"c02","tbl_cmnform_0102b","Answer21_Ulcer3_MaxWidth","double",""
"c02","tbl_cmnform_0102b","Answer22","enum",""
"c02","tbl_cmnform_0203a","CMNFormID","int","PRI"
"c02","tbl_cmnform_0203a","Answer1","enum",""
"c02","tbl_cmnform_0203a","Answer2","enum",""
"c02","tbl_cmnform_0203a","Answer3","enum",""
"c02","tbl_cmnform_0203a","Answer4","enum",""
"c02","tbl_cmnform_0203a","Answer5","int",""
"c02","tbl_cmnform_0203a","Answer6","enum",""
"c02","tbl_cmnform_0203a","Answer7","enum",""
"c02","tbl_cmnform_0203b","CMNFormID","int","PRI"
"c02","tbl_cmnform_0203b","Answer1","enum",""
"c02","tbl_cmnform_0203b","Answer2","enum",""
